Yersinia phage phiD1
Salmonella phage SSE121
Salmonella phage STML-198
Erwinia phage phiEa2809
Enterococcus phage ECP3
Bacillus phage Moonbeam
Bacillus phage Mater
Escherichia phage Av-05
Rhizobium phage RHEph06
Citrobacter phage Moogle
Sinorhizobium phage phiM12
Synechococcus phage ACG-2014b
Synechococcus phage ACG-2014i
Salmonella phage Det7
Citrobacter phage Miller
Synechococcus phage ACG-2014e
Synechococcus phage ACG-2014f
Synechococcus phage ACG-2014g
Synechococcus phage ACG-2014d
Synechococcus phage ACG-2014j
Escherichia phage vB_EcoM_VR7
Enterobacteria phage GEC-3S
Salmonella phage FelixO1
Enterobacteria phage SfV
Haemophilus phage HP2
Vibrio phage K139
Haemophilus phage HP1
Enterobacteria phage P4
Enterobacteria phage RB27
Enterobacteria phage RB3
Enterobacteria phage P88
Vibrio phage X29
Synechococcus phage metaG-MbCM1
Shigella phage pSs-1
Escherichia phage vB_EcoM_112
Escherichia phage ECML-4
Escherichia phage ECML-117
Listeria phage WIL-1
Shigella phage Shf125875
Bacillus phage CP-51
Caulobacter phage Cr30
Staphylococcus phage Team1
Staphylococcus phage MCE-2014
Shewanella sp. phage 1/40
Dickeya phage RC-2014
Shewanella sp. phage 3/49
Shewanella sp. phage 1/44
Acinetobacter phage vB_AbaM_Acibel004
Aeromonas phage pAh6-C
Shewanella sp. phage 1/41
Escherichia phage ECML-134
Escherichia phage 121Q
Shewanella sp. phage 1/4
Rhizobium phage vB_RleM_P10VF
Staphylococcus phage P108
Bacillus phage Riley
Bacillus phage CAM003
Bacillus phage Hakuna
Bacillus phage Megatron
Bacillus phage Evoli
Bacillus phage Hoody T
Escherichia phage FFH2
Salmonella phage vB_SalM_SJ3
Synechococcus phage ACG-2014c
Escherichia phage 4MG
Enterobacteria phage T4
Ralstonia phage RSY1
Erwinia phage Ea35-70
Pectobacterium phage PM1
Bacillus phage BPS10C
Escherichia phage vB_EcoM_PhAPEC2
Bacillus phage Bobb
Listeria phage LMTA-148
Acinetobacter phage YMC-13-01-C62
Synechococcus phage ACG-2014h
Listeria phage LP-125
Listeria phage LP-083-2
Listeria phage LP-048
Cronobacter phage vB_CsaM_GAP32
Salmonella phage Maynard
Salmonella phage Marshall
Bacillus phage Grass
Bacillus phage BigBertha
Bacillus phage Spock
Bacillus phage CampHawk
Cronobacter phage CR8
Listeria phage List-36
Listeria phage LMSP-25
Staphylococcus virus K
Bacillus phage Bcp1
Edwardsiella phage PEi21
Pelagibacter phage HTVC008M
Clostridium phage CDMH1
Serratia phage PS2
Bacillus phage Troll
Synechococcus phage S-CAM8
Synechococcus phage S-RIM2 R1_1999
Salmonella phage vB_SalM_SJ2
Mycobacterium phage Pleione
Mycobacterium phage MoMoMixon
Mycobacterium phage Nappy
Bacillus virus G
Cronobacter phage CR9
Mycobacterium phage LinStu
Mycobacterium phage Dandelion
Aeromonas phage PX29
Pseudomonas phage PaBG
Stenotrophomonas phage Smp131
Enterobacter phage PG7
Edwardsiella phage eiAU-183
Pseudomonas phage phiPsa374
Staphylococcus phage phiSA12
Vibrio phage VH7D
Aggregatibacter phage S1249
Escherichia phage Lw1
Bacillus phage phiAGATE
Staphylococcus phage Sb-1
Pseudomonas phage PAK_P1
Enterobacteria phage fiAA91-ss
Pseudomonas phage CHA_P1
Pseudomonas phage PAK_P2
Pseudomonas phage PAK_P5
Shigella phage SfIV
Vibrio phage VPUSM 8
Lactobacillus phage phiAQ113
Bacillus phage B4
Shigella phage SfII
Klebsiella phage 0507-KN2-1
Escherichia phage JES2013
Aeromonas virus 44RR2
Aeromonas virus 31
Escherichia virus P1
Staphylococcus phage vB_SauM_Remus
Bacillus phage phiNIT1
Escherichia phage PhaxI
Salmonella phage FSL SP-004
Mycobacterium phage Astraea
Mycobacterium phage ArcherS7
Mycobacterium phage Gizmo
Burkholderia phage ST79
Rhizobium phage RR1-A
Rhizobium phage RR1-B
Rhodococcus phage E3
Synechococcus phage S-IOM18
Iodobacteriophage phiPLPE
Prochlorococcus phage P-SSM3
Pseudomonas phage vB_PaeM_C2-10_Ab1
Edwardsiella phage MSW-3
Cyanophage P-RSM1
Vibrio phage martha 12B12
Aeromonas phage Aes012
Staphylococcus phage vB_SauM_Romulus
Bacillus phage vB_BceM-Bc431v3
Listeria phage vB_LmoM_AG20
Salmonella phage vB_SenMS16
Aeromonas virus 65
Pseudomonas phage 201phi2-1
Synechococcus phage S-SSM4
Cellulophaga phage phiSM
Cyanophage P-RSM6
Prochlorococcus phage MED4-184
Prochlorococcus phage MED4-213
Vibrio phage 11895-B1
Psychrobacter phage pOW20-A
Synechococcus phage S-CAM1
Escherichia phage V5
Listeria virus A511
Synechococcus phage S-RIM8 A.HR1
Enterobacteria phage RB16
Enterobacteria phage IME08
Mycobacterium phage ET08
Escherichia phage D108
Synechococcus phage S-RSM4
Enterobacteria phage JS10
Enterobacteria phage JSE
Enterobacteria phage RB14
Enterobacteria phage RB51
Shigella phage Ag3
Bacillus phage Bastille
Pseudomonas phage JG004
Bacillus phage W.Ph.
Enterobacteria phage RB32
Escherichia phage phAPEC8
Klebsiella phage JD001
Serratia phage phiMAM1
Sphingomonas phage PAU
Agrobacterium phage 7-7-1
Pseudomonas phage KPP12
Erwinia phage ENT90
Cronobacter phage ENT47670
Salmonella phage SKML-39
Yersinia phage phiR1-RT
Staphylococcus phage JD007
Vibrio phage vB_VpaM_MAR
Escherichia phage FV3
Burkholderia phage KS10
Burkholderia virus Bcep781
Burkholderia virus Bcep1
Aeromonas phage Aes508
Aeromonas phage CC2
Salmonella phage PhiSH19
Aeromonas phage vB_AsaM-56
Enterobacteria phage vB_KleM-RaK2
Bdellovibrio phage phi1422
Pectobacterium phage ZF40
Vibrio phage vB_VchM-138
Cyanophage S-TIM5
Bacillus phage BCD7
Campylobacter virus CP21
Escherichia phage wV7
Erwinia phage vB_EamM-Y2
Escherichia phage ime09
Enterobacteria phage Bp7
Cronobacter phage vB_CsaM_GAP31
Cronobacter phage vB_CsaM_GAP161
Escherichia phage HX01
Salmonella phage RE-2010
Bacillus phage SP-10
Vibrio phage CP-T1
Haemophilus phage SuMu
Pseudomonas phage NH-4
Staphylococcus phage GH15
Pseudomonas phage JG024
Clostridium phage phiMMP04
Clostridium phage phiMMP02
Escherichia phage vB_EcoM_ACG-C40
Bacillus phage BCP78
Bacillus phage BPS13
Escherichia phage Cba120
Pseudomonas phage OBP
Salmonella phage PVP-SE1
Yersinia phage phiR1-37
Salmonella phage SFP10
Thermus phage TMA
Bdellovibrio phage phi1402
Synechococcus phage S-CRM01
Campylobacter virus NCTC12673
Shigella phage Shfl2
Erwinia phage phiEt88
Erwinia phage phiEa104
Burkholderia phage KS14
Burkholderia phage KL3
Burkholderia phage KS5
Brochothrix phage A9
Salmonella phage ViI
Prochlorococcus phage P-SSM7
Synechococcus phage S-SSM5
Synechococcus phage S-SSM7
Synechococcus phage Syn19
Prochlorococcus phage P-HM2
Prochlorococcus phage P-RSM4
Synechococcus phage S-SM1
Synechococcus phage S-ShM2
Prochlorococcus phage P-HM1
Synechococcus phage S-SM2
Acinetobacter virus 133
Vibrio phage ICP1
Acinetobacter phage Acj9
Enterobacter phage CC31
Acinetobacter phage Acj61
Acinetobacter phage Ac42
Aeromonas phage phiAS5
Aeromonas phage phiAS4
Shigella phage SP18
Bacillus virus SPO1
Clostridium virus phiCD27
Mycobacterium phage Cali
Mycobacterium phage Spud
Mycobacterium phage ScottMcG
Mycobacterium phage Rizal
Mycobacterium phage Myrna
Salmonella phage Fels-2
Delftia phage phiW-14
Escherichia phage wV8
Lactobacillus phage Lb338-1
Ralstonia phage RSL1
Erwinia phage phiEa21-4
Pseudomonas phage PB1
Pseudomonas phage SN
Pseudomonas phage 14-1
Pseudomonas phage LMA2
Pseudomonas phage LBL3
Xanthomonas phage vB_XveM_DIBBI
Halocynthia phage JM-2012
Cronobacter phage CR3
Pseudomonas phage Lu11
Acinetobacter bacteriophage AP22
Halomonas phage phiHAP-1
Synechococcus phage syn9
Enterobacteria phage JS98
Enterobacteria phage phiEcoM-GJ1
Aeromonas virus phiO18P
Enterococcus phage phiEF24C
Enterobacteria phage Phi1
Bacillus phage 0305phi8-36
Burkholderia virus BcepNY3
Ralstonia phage RSA1
Burkholderia virus phiE255
Burkholderia virus phiE202
Burkholderia virus phiE122
Clostridium virus phiC2
Burkholderia virus BcepF1
Vibrio phage VP882
Thermus phage phiYS40
Mycobacterium phage Catera
Pasteurella phage F108
Aeromonas virus 25
Mannheimia phage phiMHaA1
Clostridium virus phiCD119
Pseudomonas phage F8
Pseudomonas phage EL
Clostridium phage c-st
Prochlorococcus phage P-SSM4
Prochlorococcus phage P-SSM2
Burkholderia virus phi52237
Vibrio phage KVP40
Staphylococcus virus G1
Enterobacteria phage RB43
Staphylococcus phage Twort
Lactobacillus phage LP65
Burkholderia virus Bcep43
Salmonella virus PsP3
Streptococcus phage EJ-1
Aeromonas virus Aeh1
Enterobacteria phage RB49
Enterobacteria phage RB69
Haemophilus phage Aaphi23
Yersinia phage L-413C
Rhodothermus phage RM378
Mycobacterium phage Bxz1
Pseudomonas phage phiKZ
Vibrio phage VHML
Natrialba phage PhiCh1
Enterobacteria phage phiP27
Pseudomonas phage phiCTX
Escherichia virus Mu
Escherichia virus P2
Lactobacillus phage KC5a
